brand,name,slug,category,price,stock,image_url,source
"Byredo","Byredo Blanche",byredo-byredo-blanche,decants,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/ByredoBlanche.png?v=1742865324",disfragancias
"Xerjoff","Xerjoff La capitale",xerjoff-xerjoff-la-capitale,decants,123500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/XerjoffLacapitale.png?v=1742864832",disfragancias
"Etat Libre d'Orange","etat libre d'orange you or someone like you",etat-libre-d-orange-etat-libre-dorange-you-or-someone-like-you,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/etatlibred_orangeyouorsomeonelikeyou.png?v=1742864132",disfragancias
"Etat Libre d'Orange","etat libre d'orange remarkable people",etat-libre-d-orange-etat-libre-dorange-remarkable-people,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/etat_libre_d_orange_remarkable_people.png?v=1742863643",disfragancias
"Atelier Des Ors","Atelier des ors iris fauve",atelier-des-ors-atelier-des-ors-iris-fauve,decants,57000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Atelierdesorsirisfauve.png?v=1742863126",disfragancias
"Oman Luxury","Oman Luxury paramour",oman-luxury-oman-luxury-paramour,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Oman_Luxury_paramour_1c5ae2dc-fe0e-45f5-858c-51fac6432240.png?v=1742862681",disfragancias
"Oman Luxury","Oman Luxury wanderlust",oman-luxury-oman-luxury-wanderlust,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/OmanLuxurywanderlust.png?v=1742862077",disfragancias
"Oman Luxury","Oman Luxury flowerlush",oman-luxury-oman-luxury-flowerlush,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/FlowerlushOmanluxury.png?v=1742861644",disfragancias
"Oman Luxury","Oman Luxury overdose",oman-luxury-oman-luxury-overdose,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/OmanLuxuryoverdose.png?v=1742860866",disfragancias
"Golfield & Banks","Goldfield & banks Bohemian line",golfield-banks-goldfield-and-banks-bohemian-line,decants,42750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/GoldfieldandbanksBohemianline.png?v=1742860169",disfragancias
